headline,time,content,link,hoax,bulan,bulan (full),tahun
Jadwal Konser di Jawa Timur untuk Desember 2023,"Rabu, 29 Nov 2023 14:02 WIB","Yang doyan menonton konser musik merapat! Ada banyak konser musik yang akan digelar di sejumlah daerah di Jawa Timur.Di mana 10 konser di antaranya akan dihelat di Surabaya. Berikut uraian lengkapnya.Artikel ini ditulis oleh Nabila Meidy Sugita, peserta Magang Bersertifikat Kampus Merdeka di detikcom.",https://www.detik.com/jatim/budaya/d-7062603/jadwal-konser-di-jawa-timur-untuk-desember-2023,0,Nov,November,2023
Gigi Hadid Diserang Selebritas Pro-Israel,"Rabu, 29 Nov 2023 14:02 WIB","Supermodel Gigi Hadid menjadi salah satu yang vokal dalam menyuarakan dukungannya terhadap Palestina, negara tempat sang ayah dilahirkan. Ia mengunggah serangkaian pernyataan lewat media sosialnya tersebut hingga mengusik beberapa pesohor.Salah satu yang jadi sorotan adalah unggahannya tentang Ahmad Manasra, anak laki-laki asal Palestina yang ditangkap polisi Israel saat berusia 13 tahun dan dipenjara selama 12 tahun sebelum akhirnya dikurangi menjadi 9,5 tahun. Ia dipidana karena dituduh menusuk petugas keamanan Israel dan bocah berusia 13 tahun di Yerusalem.Unggahan ini langsung diserang oleh para selebritas pro-Israel seperti model Bar Refaeli dan produser Scooter Braun. Ia dituduh menyebarkan informasi palsu dan juga ajakan antisemitisme. ""Saya tahu orang-orang bermaksud baik, tetapi ketika Anda mengatakan seorang anak diculik, ternyata yang diculik adalah seorang remaja yang keluar dan menikam dua warga sipil tak berdosa termasuk seorang anak berusia 12 tahun di depan kamera dan kemudian menyatakan 'Saya ingin menikam orang Yahudi.' Mari kita cek dulu faktanya tepat sebelum Anda mempostingnya ke 78 juta orang,"" tulis Braun, merujuk pada jumlah pengikut Gigi Hadid.Gigi Hadid menjelaskan ada ketidakadilan dalam hukum yang berlaku di sana, dimana anak-anak Palestina tak mendapatkan keadilan sebagaimana anak-anak Israel dalam kesalahan yang sama. Ia mengaku telah memakai contoh yang salah dan menyesali hal tersebut lalu menghapus unggahan itu.""Fokus saya dimaksudkan pada masalah hak asasi manusia. Itu sebabnya saya juga ingin menegaskan kembali bahwa menyerang manusia mana pun, termasuk orang Yahudi, TIDAK PERNAH BAIK-BAIK SAJA. Menyandera orang yang tidak bersalah TIDAK PERNAH BAIK-BAIK SAJA. Menyakiti seseorang KARENA mereka Yahudi TIDAK PERNAH baik-baik saja. Itu salah,"" kata Hadid.Dia berpendapat bahwa anak-anak, baik Israel atau Palestina, berhak atas hak asasi manusia yang setara.""Seorang anak Palestina, bahkan jika dia dituduh melakukan kejahatan yang mengerikan, berhak mendapatkan hak yang sama seperti anak Israel dalam situasi yang sama.""",https://hot.detik.com/celeb/d-7062282/gigi-hadid-diserang-selebritas-pro-israel,0,Nov,November,2023
"Bos CIA dan Mossad Bertemu PM Qatar, Bahas Apa?","Rabu, 29 Nov 2023 13:18 WIB","Direktur badan intelijen pusat Amerika Serikat (AS) atau CIA dan kepala badan intelijen Israel, Mossad, dilaporkan berkunjung ke Doha, Qatar dan menggelar pertemuan dengan Perdana Menteri (PM) Qatar Sheikh Mohammed bin Abdulrahman al-Thani pekan ini. Apa yang dibahas?Seperti dilansir AFP dan Al Arabiya, Rabu (29/11/2023), seorang sumber yang mengetahui soal kunjungan bos CIA dan Mossad itu mengungkapkan bahwa Direktur CIA William Burns dan Kepala Mossad David Barnea bertemu dengan PM Al-Thani di Doha pada Selasa (28/11) waktu setempat.Menurut sumber tersebut, pertemuan itu bertujuan 'untuk melanjutkan kemajuan dari kesepakatan gencatan senjata yang diperpanjang dan untuk memulai diskusi lebih lanjut mengenai fase selanjutnya dari kesepakatan potensial' terkait perpanjangan gencatan senjata di Jalur Gaza. Menurut sumber tersebut, seperti dilansir Reuters, hasil dari pembicaraan di Doha itu masih belum jelas. Para pejabat Mesir juga dilaporkan ikut hadir dalam pertemuan tersebut.Dalam pernyataan terpisah, seorang pejabat AS yang enggan disebut namanya menyebut Burn berada di Doha untuk 'pertemuan mengenai konflik Israel-Hamas termasuk diskusi soal para sandera'.Pertemuan antara Burns, Barnea dan PM Al-Thani itu digelar sehari setelah Qatar mengumumkan perpanjangan gencatan senjata selama dua hari di Jalur Gaza, dari kesepakatan awal antara Israel dan Hamas yang menyetujui empat hari gencatan senjata.Qatar, yang menjadi lokasi markas sejumlah pemimpin politik Hamas, telah memimpin negosiasi antara Israel dan kelompok militan Palestina tersebut. Selain Qatar, ada juga Mesir dan AS yang menjadi mediator dalam negosiasi itu.Para pejabat yang menghadiri pertemuan pada Selasa (28/11), menurut sumber yang dikutip Reuters, membahas kemungkinan parameter fase baru untuk kesepakatan gencatan senjata, termasuk pembebasan sandera laki-laki atau personel militer, tidak hanya perempuan dan anak-anak, oleh Hamas.Simak berita selengkapnya di halaman berikutnya. Halaman 1 2 Selanjutnya amerika serikat cia mossad israel qatar sheikh mohammed bin abdulla al thaniPertemuan itu juga mempertimbangkan apa yang mungkin diperlukan untuk mencapai gencatan senjata yang bertahan lebih dari sekadar beberapa hari saja.Disebutkan juga oleh sumber itu bahwa Qatar telah berbicara dengan Hamas sebelum pertemuan itu untuk mengetahui apa saja yang mungkin disetujui oleh kelompok tersebut. Menurut sumber tersebut, Israel dan Hamas kini sedang mendiskusikan secara internal soal ide-ide yang dieksplorasi dalam pertemuan itu. Qatar Upayakan Gencatan Senjata Berkelanjutan di GazaKementerian Luar Negeri Qatar, pada Selasa (28/11) waktu setempat, menyatakan bahwa para mediator akan memanfaatkan perpanjangan jeda pertempuran di Jalur Gaza untuk mengupayakan 'gencatan senjata yang berkelanjutan' antara Israel dan Hamas.""Fokus utama kami saat ini, dan harapan kami, adalah mencapai gencatan senjata berkelanjutan yang akan mengarah pada negosiasi lebih lanjut, dan pada akhirnya untuk mengakhiri ... perang ini,"" tegas juru bicara Kementerian Luar Negeri Qatar, Majed Al Ansari, saat berbicara kepada wartawan.""Namun, kami bekerja dengan apa yang kami miliki. Dan apa yang kami miliki saat ini adalah ketentuan dalam kesepakatan yang memungkinkan kami untuk memperpanjang jangka waktunya selama Hamas dapat menjamin pembebasan setidaknya 10 sandera,"" imbuhnya.Al Ansari menyebut bahwa perpanjangan gencatan senjata selama 48 jam akan dilanjutkan dengan pembebasan 20 sandera lainnya. ""Kami berharap dalam 48 jam ke depan, kami akan mendapatkan lebih banyak informasi dari Hamas mengenai para sandera lainnya,"" ucapnya.Dia menambahkan bahwa 'pelanggaran minimal' dalam beberapa hari terakhir tidak 'merusak esensi kesepakatan'.Selama empat hari pertama gencatan senjata, Hamas telah membebaskan 50 sandera wanita dan anak-anak Israel. Belasan warga negara asing yang disandera Hamas juga dibebaskan dalam kesepakatan terpisah. Sebagai pertukaran, Israel membebaskan 150 tahanan Palestina dari penjara-penjaranya.Sebagai bagian dari perpanjangan gencatan senjata selama dua hari, Hamas setuju untuk membebaskan tambahan 10 sandera Israel, terdiri atas perempuan dan anak-anak, setiap harinya. Sejauh ini, belum ada indikasi bahwa Hamas bersedia membebaskan para sandera laki-laki atau personel militer yang mereka tahan.",https://news.detik.com/internasional/d-7062492/bos-cia-dan-mossad-bertemu-pm-qatar-bahas-apa,0,Nov,November,2023
"10 Konser di Surabaya Desember 2023: Ada Tulus, Isyana hingga Dewa 19","Rabu, 29 Nov 2023 13:03 WIB","Ada banyak konser musik yang bakal digelar di Surabaya sepanjang Desember 2023. Berikut ini jadwalnya.Sederet musisi Tanah Air akan tampil menghibur warga Kota Pahlawan. Ada Dewa 19, Tiara Andini, Hivi dan masih banyak yang lainnya.Artikel ini ditulis oleh Nabila Meidy Sugita, peserta Magang Bersertifikat Kampus Merdeka di detikcom.",https://www.detik.com/jatim/budaya/d-7062461/10-konser-di-surabaya-desember-2023-ada-tulus-isyana-hingga-dewa-19,0,Nov,November,2023
PA 212: Kami Tak Undang Capres dan Cawapres Mana Pun di Munajat 212,"Rabu, 29 Nov 2023 13:00 WIB","Persaudaraan Alumni (PA) 212 menyatakan tidak mengundang capres dan cawapres mana pun dalam kegiatan Munajat 212 di Monas, Jakarta Pusat. PA 212 mengatakan kegiatan ini murni untuk memanjatkan doa bagi keselamatan NKRI dan Palestina.""Kami pastikan tidak mengundang capres-cawapres mana pun. Karena ini acaranya munajat untuk keselamatan umat menjelang Pemilu 2024 dan juga untuk mendoakan saudara-saudara kita di Palestina,"" kata Wakil Sekjen PA 212 Novel Bamukmin saat dihubungi detikcom, Rabu (29/11/2023).Namun pihaknya tidak menolak apabila nantinya ada capres dan cawapres yang akan hadir. Tapi, lanjut Novel Bamukmin, PA 212 tidak akan memberikan panggung kepada capres dan cawapres tersebut. Undangan ini kan umum terbuka, ya kita tidak bisa tolak juga kalau mereka akan hadir, tapi kita tidak bisa kasih sambutan,"" katanya.Munajat 212 digelar pada Sabtu (2/12) pada pukul 03.00-09.00 WIB. Kegiatan akan diawali salat tahajud dilanjutkan munajat dan tausiah dari para ulama.Namun persiapan panggung sudah dimulai sejak Jumat (1/12) pagi. Novel Bamukmin mengklaim Munajat 212 akan dihadiri oleh jutaan orang.""Insyaallah 3 juta orang (akan hadir),"" katanya.Munajat 212 di Monas, Jakarta Pusat, rencananya dihadiri sejumlah tokoh ulama. Persaudaraan Alumni (PA) 212 selaku penyelenggara belum bisa memastikan Habib Rizieq Shihab (HRS) akan hadir dalam kegiatan tersebut.""Kita tidak tahu apakah Habib Rizieq akan datang atau tidak. Waktu di At-Tin kita upayakan hadir, cuma kan masih pembebasan bersyarat (sehingga) tidak mendapatkan izin dari kejaksaan,"" kata Wasekjen PA 212 Novel Bamukmin.Novel Bamukmin mengatakan pihaknya mengupayakan untuk menghadirkan Habib Rizieq Shihab dalam kegiatan ini. Sore ini pihak pengacara HRS akan berkomunikasi dengan kejaksaan untuk memperoleh izin tersebut.""Sore ini pengacara komunikasi ke Kejaksaan, nanti lihat perkembangannya,"" katanya.Ulama yang akan hadir di antaranya Abdullah Gymnastiar (Aa Gym), tokoh dari MUI, hingga menantu Habib Rizieq Shihab.""(Ulama yang akan hadir) ulama-ulama elemen 212, Aa Gym, tokoh-tokoh ulama nasional, termasuk MUI yang kemarin komandan Geranati,"" katanya.""(Menantu Habib Rizieq) hadir, beliau kan penyelenggaranya, Ketum FPI hadir, GNKPF Yusuf Martak nggak tahu nih hadir apa tidak, karena beliau kan jadi tim AMIN,"" katanya.Kementerian Sekretariat Negara (Kemensetneg) telah memberikan izin kegiatan Munajat 212 tersebut. Surat tersebut ditandatangani oleh Sekretaris Kemensetneg, Setya Utama.""Izinnya dari DKI, kami prinsip setuju dengan syarat tidak untuk kegiatan politik,"" ujar Setya, Selasa (28/11).Simak juga Video: Ijtima Ulama 2023 Bakal Bahas Palestina-Arah Dukungan Capres[Gambas:Video 20detik]",https://news.detik.com/berita/d-7062454/pa-212-kami-tak-undang-capres-dan-cawapres-mana-pun-di-munajat-212,0,Nov,November,2023
Erdogan Serukan Israel Diadili Pengadilan Internasional Atas Perang Gaza,"Rabu, 29 Nov 2023 12:34 WIB","Presiden Turki Recep Tayyip Erdogan menyerukan agar Israel diadili di pengadilan internasional, atas apa yang disebutnya sebagai kejahatan perang di Jalur Gaza. Seruan itu disampaikan Erdogan saat berbicara via telepon dengan Sekretaris Jenderal (Sekjen) Perserikatan Bangsa-Bangsa (PBB) Antonio Guterres.Seperti dilansir Reuters dan Al Arabiya, Rabu (29/11/2023), percakapan telepon antara Erdogan dan Guterres itu dilakukan menjelang digelarnya sidang Dewan Keamanan PBB pada Rabu (29/11) waktu setempat.Menurut kantor kepresidenan Turki, Erdogan dan Guterres membahas beberapa hal dalam percakapan telepon itu, mulai dari soal 'harapan komunitas internasional soal serangan ilegal Israel', kemudian soal akses bantuan kemanusiaan ke wilayah tersebut, hingga upaya mewujudkan perdamaian abadi. ""Dalam percakapan telepon itu, Presiden Erdogan mengatakan bahwa Israel tanpa malu-malu terus menginjak-injak hukum internasional, hukum perang, dan hukum kemanusiaan internasional dengan memandang mata komunitas internasional, dan Israel harus bertanggung jawab atas kejahatan yang dilakukannya di hadapan hukum internasional,"" demikian pernyataan kantor kepresidenan Turki.Israel melancarkan rentetan serangan via udara, darat dan laut terhadap Jalur Gaza untuk merespons serangan mengejutkan Hamas pada 7 Oktober lalu. Para pejabat Tel Aviv menyebut sekitar 1.200 orang, sebagian besar warga sipil, tewas akibat serangan Hamas tersebut. Lebih dari 240 orang lainnya disandera Hamas.Laporan terbaru otoritas kesehatan Gaza menyebut lebih dari 15.000 orang tewas akibat rentetan serangan Israel.Kementerian Luar Negeri Turki mengatakan bahwa Menteri Luar Negeri (Menlu) Hakan Fidan akan menghadiri pertemuan Dewan Keamanan PBB di New York, Amerika Serikat (AS).Simak berita selengkapnya di halaman selanjutnya. Halaman 1 2 Selanjutnya turki recep tayyip erdogan israel jalur gaza gaza kejahatan perang perserikatan bangsa-bangsa sekjen pbb antonio guterres antonio guterresDisebutkan juga oleh Kementerian Luar Negeri Turki bahwa Fidan akan menggelar pertemuan dengan kelompok Menlu dari beberapa negara mayoritas Muslim, yang dibentuk oleh Liga Arab dan Organisasi Kerjasama Islam (OKI) bulan ini untuk membahas Gaza dengan negara-negara Barat dan negara-negara lainnya.Turki mengecam keras serangan Israel terhadap Jalur Gaza dan menyerukan gencatan senjata segera untuk memungkinkan diskusi mengenai solusi dua negara terhadap konflik Israel-Palestina yang lebih luas. Erdogan menyebut serangan Israel terhadap Jalur Gaza sebagai genosida, dan menuduh Israel sebagai 'negara teror'. Tel Aviv menolak tuduhan itu dan bersikeras menyatakan pihaknya bertindak untuk membela diri atas serangan musuh.",https://news.detik.com/internasional/d-7062407/erdogan-serukan-israel-diadili-pengadilan-internasional-atas-perang-gaza,0,Nov,November,2023
"Dubes Zuhair: Israel Lakukan Kejahatan, 6.000 Lebih Anak Palestina Dibunuh","Rabu, 29 Nov 2023 12:19 WIB","Duta Besar (Dubes) Palestina untuk Republik Indonesia (RI), Zuhair SM Al Shun, mengatakan Israel adalah pembunuh. Dia mengatakan gempuran Israel telah menewaskan 6.000 anak-anak Palestina.Hal itu dikatakan Zuhair saat menghadiri acara 'Seminar Peringatan Hari Solidaritas International Bagi Rakyat Palestina' yang digelar Departemen Hubungan Internasional (HI) Fakultas Ilmu Sosial dan Politik (FISIP) Universitas Indonesia (UI), Depok, Rabu (29/11/2023). Dalam konferensi pers, Zuhair mengatakan Israel adalah pembunuh yang telah melakukan kejahatan.""Mereka (Israel) adalah pembunuh, mereka melakukan kejahatan,"" kata Zuhair kepada wartawan di UI, Rabu (29/11). Zuhair mengatakan serangan Israel telah menghancurkan kehidupan manusia. Israel telah membunuh 6.000 anak-anak di bawah umur 10 tahun.""Mereka mencela kehidupan manusia, dan anak-anak manusia lebih dari 6.000 telah dibunuh, di bawah 10 tahun,"" jelasnya.Zuhair pun setuju dengan aksi boikot produk Israel yang dilakukan sejumlah pihak di Indonesia.""Menurutmu apa itu? Pemerintah Israel seharusnya. Jadi saya setuju dengan boikot semua produk itu,"" katanya.Dalam acara itu, Keluarga Besar Departemen HI FISIP UI juga menyerahkan donasi sebesar Rp 115 juta ke Dubes Palestina. Acara itu juga dihadiri oleh Staf Ahli Menteri Luar Negeri Bidang Hubungan Antar-Lembaga Muhsin Syihab serta guru besar departemen hubungan internasional dari FISIP UI, Evi Fitriani.",https://news.detik.com/berita/d-7062358/dubes-zuhair-israel-lakukan-kejahatan-6-000-lebih-anak-palestina-dibunuh,0,Nov,November,2023
Viral Momen Haru Penyelamatan Bayi di Gaza usai Tertimpa Bangunan 37 Hari,"Rabu, 29 Nov 2023 12:00 WIB","Viral momen mengharukan penyelamatan bayi di Gaza yang terjebak reruntuhan bangunan selama 37 hari. Bak keajaiban, bayi mungil itu berhasil selamat dan bertahan hidup.Di media sosial beredar video penyelamatan bayi tersebut yang dilakukan oleh Pekerja Pertahanan Sipil di Palestina. Nooh Al Shaghnobi, seorang anggota pertahanan sipil dan fotografer yang membagikan video tersebut di sosial media mengatakan orang-orang yakin bayi tersebut sudah wafat mengingat dia tertimpa reruntuhan selama satu bulan lebih.""Lahir pada hari-hari pertama perang Gaza, ibu dan ayahnya adalah martir. Dia dilahirkan kembali ketika keluar dari reruntuhan setelah semua orang mengatakan dia sudah mati,"" kata Nooh dikutip dari Gulf News. ""Kami tidak bisa menggambarkan perasaan kami; ini seperti merayakan kelahiran kedua anak ini ketika kami berhasil menyelamatkannya hidup-hidup dari bawah reruntuhan,"" sambungnya.Di kolom komentar, tidak sedikit netizen yang bingung apakah bayi tersebut terjebak selama 37 hari ataukah jumlah hari tersebut mewakili usia bayi, mengingat konflik kini telah mencapai hari ke-53. Namun, beberapa orang yang diyakini memiliki hubungan dekat dengan Nooh mengklarifikasi bahwa kejadian sebenarnya terjadi beberapa hari lalu sebelum gencatan senjata berlaku.[Gambas:Instagram]Mereka menjelaskan bahwa karena masalah konektivitas internet pada hari kejadian, Nooh tidak dapat membagikan video tersebut sebelumnya.Media melaporkan bahwa juru bicara pertahanan sipil Gaza meminta keterlibatan anggota pertahanan sipil dari negara-negara Arab, beserta peralatannya, untuk melakukan misi SAR karena mereka belum menerima bantuan dan pasokan pemadam kebakaran.Mereka menyebutkan ribuan warga dikhawatirkan masih terjebak di bawah reruntuhan, dan diperkirakan ratusan jenazah berada di RS Al-Quds dan RS Al-Rantisi.",https://health.detik.com/berita-detikhealth/d-7062335/viral-momen-haru-penyelamatan-bayi-di-gaza-usai-tertimpa-bangunan-37-hari,0,Nov,November,2023
Munajat 212 di Monas Digelar Sabtu 2 Desember Dini Hari Diawali Tahajud,"Rabu, 29 Nov 2023 11:34 WIB","Persaudaraan Alumni (PA) 212 akan menggelar Munajat Kubro 212 di Monas, Jakarta Pusat. Acara tersebut digelar pada Sabtu, 2 Desember 2023 dini hari sampai pagi.""Iya, Sabtu, 2 Desember, acaranya mulai jam 03.00 WIB sampai pukul 09.00 WIB,"" ujar Wasekjen PA 212 Habib Novel Bamukmin, saat dihubungi detikcom, Rabu (29/11/2023).Acara akan diawali dengan salat tahajud bersama, kemudian munajat dan tausiah-tausiah dari alim ulama. Jemaah dari berbagai daerah akan tiba di Jakarta diperkirakan sejak Jumat, 1 Desember. ""Tapi dari Jumat malam dari seluruh Indonesia sudah datang, Lampung sudah siap, ini saya lagi keliling ke Jawa Barat buat ngundang ulama-ulama Majalengka. Biasanya jam 9 malam sudah stand by, ada yang tidur di situ di Monas juga, ada yang ke Istiqlal dulu,"" jelasnya.Persiapan sarana prasarana acara Munajat Kubro 212 dilaksanakan sejak Jumat, 1 Desember pagi. Novel Bamukmin mengklaim acara tersebut akan dihadiri jutaan orang.""Persiapan sudah dari Jumat pagi. Insyaallah 3 juta orang (akan hadir),"" katanya.Novel Bamukmin mengatakan acara ini akan dihadiri sejumlah tokoh ulama hingga MUI. Sementara itu, Habib Rizieq Shihab belum dipastikan akan hadir.""Kita tidak tahu apakah Habib Rizieq akan datang atau tidak. Waktu di At-Tin kita upayakan hadir, cuma kan masih pembebasan bersyarat (sehingga) tidak mendapatkan izin dari kejaksaan. Sore ini pengacara komunikasi ke Kejaksaan, nanti lihat perkembangannya,"" katanya.Lebih lanjut, Novel Bamukmin menyatakan pihaknya tidak mengundang pasangan capres dan cawapres mana pun dalam kegiatan ini. Namun pihaknya juga tidak menolak apabila mereka akan hadir.""Kami pastikan tidak mengundang capres-cawapres mana pun. Undangan ini kan umum terbuka, ya kita tidak bisa tolak juga kalau mereka akan hadir, tapi kita tidak bisa kasih sambutan,"" katanya.""Karena ini acaranya munajat untuk keselamatan umat menjelang Pemilu 2024 dan juga untuk mendoakan saudara-saudara kita di Palestina,"" tambahnya.Sebagai persiapan terakhir, PA 212 akan menggelar rapat dan konferensi pers di Masjid Al Ijtihad, Tebet, Jakarta Selatan, pukul 19.00 WIB nanti.""Hasilnya apa nanti akan disampaikan dalam konferensi pers, termasuk siapa saja tokoh yang akan hadir dan bagaimana persiapannya,"" tuturnya.Kementerian Sekretariat Negara (Kemensetneg) mengeluarkan izin kegiatan Munajat 212 digelar di Monumen Nasional (Monas). Kegiatan itu diketahui akan digelar pada 1-2 Desember.Surat berkop Kemensetneg itu dikeluarkan per 28 November 2023. Surat tersebut tercatat perihal izin penggunaan kawasan Monumen Nasional. Surat ini ditandatangani Sekretaris Kemensetneg, Setya Utama.Dalam isi surat itu, tertulis kegiatan munajat bertema 'Untuk Keselamatan NKRI dan Kemenangan Palestina' ini digelar pada Jumat-Sabtu (1-2 Desember 2023) pukul 03.00-09.00 WIB.Setya Utama membenarkan surat tersebut. Dia mengatakan pada prinsipnya Kemensetneg setuju asalkan tidak untuk kegiatan politik. Dia mengatakan izin kegiatan dikeluarkan Pemprov DKI Jakarta.""Izinnya dari DKI, kami prinsip setuju dengan syarat tidak untuk kegiatan politik,"" ujar Setya.Simak juga Video: Ijtima Ulama 2023 Bakal Bahas Palestina-Arah Dukungan Capres[Gambas:Video 20detik]",https://news.detik.com/berita/d-7062283/munajat-212-di-monas-digelar-sabtu-2-desember-dini-hari-diawali-tahajud,0,Nov,November,2023
10 Twibbon Hari Solidaritas Internasional Bagi Rakyat Palestina 2023,"Rabu, 29 Nov 2023 10:59 WIB","Hari Solidaritas Internasional Bagi Rakyat Palestina diperingati pada tanggal 29 November setiap tahunnya. Twibbon Hari Solidaritas Internasional Bagi Rakyat Palestina 2023 bisa kamu gunakan untuk turut merayakannya.International Day of Solidarity with the Palestinian People atau Hari Solidaritas Internasional Bersama Rakyat Palestina adalah untuk memperingati Resolusi 181 (II) oleh Majelis Umum PBB tentang pembagian wilayah Palestina.Hari Solidaritas Internasional Bersama Rakyat Palestina diperingati setiap 19 November untuk memberikan kesempatan bagi masyarakat internasional untuk menunjukkan dukungannya terhadap impian rakyat Palestina akan masa depan yang damai. Melansir laman Twibbonize, berikut ini daftar link download twibbon Hari Solidaritas Internasional Bagi Rakyat Palestina 2023 yang bisa kamu gunakan dan sebarkan di media sosial pada tanggal 29 November 2023:Langkah selanjutnya adalah tinggal memasukkan foto yang kamu inginkan ke dalam twibbon tersebut. Berikut cara memasang foto pada twibbon:Kamu bisa bagikan twibbon pilihanmu di media sosial disertai berbagai macam caption dengan kata-kata atau ucapan Selamat Hari Solidaritas Internasional Bagi Rakyat Palestina 2023.",https://news.detik.com/berita/d-7062449/10-twibbon-hari-solidaritas-internasional-bagi-rakyat-palestina-2023,0,Nov,November,2023
