headline,time,content,link,hoax
[SALAH] Konvoi Bantuan Palestina Dirampas oleh Israel,"November 25, 2023","Hasil periksa fakta Vendra PanjiDalam video aslinya tersebut tidak berisi penjelasan adanya peristiwa perampasan yang dilakukan oleh Israel. Truk-truk tersebut berhenti karena sedang dalam proses untuk melewati perbatasan Rafah, yaitu perbatasan antara Mesir dengan Gaza.===========[KATEGORI]: Konten dimanipulasi===========[SUMBER]: Tiktok https://archive.cob.web.id/archive/1700676627.275035/index.html ===========[NARASI]: “Ini Gambaran Konvoi Bantuan Untuk Palestina Yang Di Rampas ISRAELSebarkan Agar Dunia Tau Betapa K3J@m ISRAEL”===========[PENJELASAN]: Sebuah video di Tiktok memperlihatkan banyak sekali truk yang terparkir memanjang, video itu juga disertai dengan narasi jika truk-truk tersebut merupakan bantuan untuk Palestina yang sedang dirampas Israel.Namun, setelah ditelusuri rupanya potongan video tersebut berasal dari sebuah media asal Mesir bernama Al Nahar, video itu diunggah di Facebook pada 31 Mei 2021 lalu. Video juga disertai dengan caption berbahasa Arab yang jika diterjemahkan artinya adalah ““For the third time.. #Egypt sends the largest convoys of support and aid to the Palestinians in #Gaza,”.Dalam video aslinya tersebut tidak berisi penjelasan adanya peristiwa perampasan yang dilakukan oleh Israel. Truk-truk tersebut berhenti karena sedang dalam proses untuk melewati perbatasan Rafah, yaitu perbatasan antara Mesir dengan Gaza.Sehingga dapat disimpulkan jika klaim yang mengatakan video tersebut merupakan perampasan bantuan Palestina oleh Israel adalah tidak benar. Truk tersebut berhenti dikarenakan sedang dalam proses untuk melewati perbatasan Rafah.=========== [REFERENSI] :https://www.facebook.com/watch/?ref=embed_video&v=563146664690735https://pesacheck.org/false-this-video-is-not-of-aid-vehicles-stalled-at-the-rafah-border-in-2023-d648991a7e68",https://turnbackhoax.id/2023/11/25/salah-konvoi-bantuan-palestina-dirampas-oleh-israel/,1
[SALAH] Video Polisi Israel Mencekik Anak Palestina di Kedutaan AS di Jerusalem,"November 23, 2023","Hasil periksa fakta Moch. MarcellodiansyahFaktanya video tersebut sudah beredar sejak 2015 saat seorang anak laki-laki Arab ditangkap oleh penjaga keamanan Swedia di Stasiun Kereta Api Malmo karena diduga tidak membayar tiket kereta api.= = =Kategori: Konten yang Menyesatkan= = =Sumber: Twitterhttps://ghostarchive.org/archive/M4FXS= = =Narasi:“:point_up: polisi Israel mencekik seorang anak Palestina sampai mati pada  Sabtu lalu di kedutaan AS di Jerusalem. Anak Palestina itu mengucap  Kalimat Syahadat sebelum meninggal dunia., video ini telah secara sistematik dibuang dan dibuang dari google, Facebook, dan YouTube.”= = =Penjelasan:Beredar video di Twitter yang menunjukkan seseorang berpakaian seperti petugas keamanan menahan seorang anak laki-laki di lantai. Video tersebut diklaim merupakan polisi Israel yang mencekik seorang anak Palestina sampai mati pada Sabtu, 28 Oktober 2023 di Kedutaan AS di Jerusalem.Hasil penelusuran menemukan bahwa klaim tersebut menyesatkan, faktanya video tersebut merupakan kejadian penahanan seorang anak keturunan Arab oleh petugas keamanan di Stasiun Kereta Api Malmo Swedia pada 2015.  Sehingga tidak ada kaitannya dengan konflik yang terjadi di Palestina dan Israel sejak Oktober 2023. Dilansir dari checkyourfact.com, anak tersebut diamankan karena tidak membayar tiket kereta api.Dengan demikian, polisi israel mencekik anak Palestina di Kedutaan AS di Jerusalem  adalah tidak benar dengan kategori Konten yang Menyesatkan.= = =Referensi:https://checkyourfact.com/2023/11/15/fact-check-swedish-security-guards-israel-hamas/= = = ",https://turnbackhoax.id/2023/11/23/salah-video-polisi-israel-mencekik-anak-palestina-di-kedutaan-as-di-jerusalem/,1
[SALAH] Video Tentara Israel Memasang Bendera Israel di Atap Rumah Sakit Al Shifa,"November 23, 2023","Hasil periksa fakta Evarizma Zahra. Konten yang menyesatkan. Video tersebut menunjukkan tentara Israel yang memasang bendera negaranya di atap TK khusus anak laki-laki di Gaza, bukan di atap rumah sakit Al Shifa.=====KATEGORI: KONTEN YANG MENYESATKAN=====Sumber: Twitterhttps://archive.ph/HacLdArsip Video:https://video.twimg.com/ext_tw_video/1724766329180139520/pu/vid/avc1/480×848/D_B0Mvjmf0PGp6hf.mp4?tag=12=====Narasi(Diterjemahkan ke Bahasa Indonesia):“Setelah ‘menaklukkan’ Rumah Sakit Al Shifa, pasukan Israel memasang bendera mereka di atap untuk menandai kemenangan mereka terhadap orang-orang sakit dan bayi yang tidak berdaya! Benar-benar tanpa ampun…#khaberni #AlShifaHospital #CeasefireForGazaNOW #GazaGenocide #Gazawar #Gaza”.=====Penjelasan:Akun Twitter bercentang biru @khaberni mengunggah video yang menunjukkan pasukan Israel sedang memasang bendera negaranya di atap. Pengguna Twitter tersebut menklaim kejadian itu direkam di atap Rumah Sakit Al Shifa, Gaza, sebagai simbol kemenangan Israel setelah mengebom orang-orang sakit dan bayi di rumah sakit tersebut. Video dan cuitan yang diunggah pada 15 November tersebut telah disukai hampir 1,700 orang, dibagikan dan dikutip ulang 1,800 kali, serta telah dilihat hampir 700,000 kali.Berdasarkan hasil penelusuran, informasi tersebut menyesatkan. Jurnalis Perancis bernama Arthur Carpentier melakukan pencarian dari beberapa cuplikan bangunan di video tersebut dan tertera bahwa bangunan tersebut cocok dengan salah satu sekolah di Gaza yang terletak 400m dari Rumah Sakit Al-Shifa. Arthur Carpentier menulis hasil temuan tersebut di Twitter pribadinya.Selain itu, informasi serupa telah dibahas oleh Politi Fact dengan judul “Video shows Israeli soldiers ‘raising their flag’ over al-Shifa hospital in Gaza” dan dikategorikan sebagai False.Dengan demikian, informasi yang disebarluaskan oleh @khaberni merupakan konten yang menyesatkan.=====Referensi:https://twitter.com/Arthur_Crpt/status/1724823045276049839https://www.politifact.com/factchecks/2023/nov/21/instagram-posts/video-shows-israeli-flag-planted-over-boys-school/",https://turnbackhoax.id/2023/11/23/salah-video-tentara-israel-memasang-bendera-israel-di-atap-rumah-sakit-al-shifa/,1
[SALAH] Perusahaan Israel Pepsi Ubah Kemasan Bertulisan “Palestina” untuk Hindari Boikot,"November 23, 2023","Hasil periksa fakta Moch. MarcellodiansyahFaktanya Pepsi adalah perusahaan asal Amerika Serikat. Desain baru Pepsi yang bertuliskan “Palestina” dalam bahasa Arab sudah lama beredar sejak Agustus 2023 sebelum konflik Palestina dan Israel memanas pada 7 Oktober 2023.= = =Kategori: Konten yang Menyesatkan= = =Sumber: TikTokhttps://ghostarchive.org/archive/PKTZB= = =Narasi:“Perusahaan israel PEPSI sudah mengubah desainnya untuk menghindari boycot bahkan kemasannya menuliskan PALESTINA lah ketar ketir udah”= = =Penjelasan:Sebuah video di TikTok membagikan kemasan baru Pepsi yang bertulisan “Palestina” dalam bahasa Arab. Narasi yang disematkan dalam video menyebut bahwa perusahaan Israel, Pepsi mengubah desain kemasan kalengnya untuk menghindari boikot.Hasil penelusuran menemukan bahwa klaim tersebut keliru, faktanya desain kaleng Pepsi edisi khusus tersebut sudah lama tersebar sejak Agustus 2023, jauh sebelum konflik Palestina – Israel memanas sejak 7 Oktober 2023. Selain itu, Pepsi adalah perusahaan asal Amerika Serikat, bukan asal Israel.Dilansir dari thequint.com, kaleng dengan pola yang mencerminkan warisan budaya asli Palestina tersebut hanya dipasarkan selama tiga bulan. Dragon Studios agensi yang membuat desain kaleng tersebut sebelumnya juga pernah membagikan proses pembuatannya pada Agustus 2014.Dengan demikian, Pepsi ubah kemasan bertulisan “Palestina” untuk hindari boikot adalah tidak benar dengan kategori Konten yang Menyesatkan.= = =Referensi:https://www.thequint.com/news/webqoof/pepsi-co-supporting-palestine-design-israel-company-fact-check#read-morehttps://www.kompas.com/cekfakta/read/2023/11/15/164223582/klarifikasi-tidak-benar-pepsi-ubah-desain-kaleng-untuk-hindari-boikot= = = ",https://turnbackhoax.id/2023/11/23/salah-perusahaan-israel-pepsi-ubah-kemasan-bertulisan-palestina-untuk-hindari-boikot/,1
[SALAH] Cristiano Ronaldo Lempar Mic Wartawan Israel ke Danau,"November 22, 2023","Hasil periksa fakta Vendra PanjiCR7 melempar mic wartawan itu dikarenakan ia sedang merasa kesal akibat performa buruknya di Timnas dan kekesalannya dengan CMTV, bukan dikarenakan wartawan tersebut orang Israel.===========[KATEGORI]: Konten menyesatkan===========[SUMBER]: Tiktok https://archive.cob.web.id/archive/1700475153.05555/index.html===========[NARASI]: “Momen Ronaldo Membuang Mik wartawan Israel”===========[PENJELASAN]: Sebuah postingan Tiktok yang diunggah 12 Oktober 2023 lalu menampilkan sebuah video Ronaldo yang nampak kesal kepada seorang wartawan hingga melempar mic wartawan tersebut, lalu dalam unggahan Tiktok itu juga terdapat teks tambahan mengklaim jika wartawan tersebut merupakan orang Israel.Setelah mencari sumber asli dari potongan video tersebut, ditemukan hasil temuan jika video tersebut diambil pada tahun 2016 silam. Pada momen tersebut Ronaldo diduga sedang mengalami kekesalan lantaran performa buruknya saat bermain bersama Timnas Portugal di ajang EURO 2016.Kemudian dilansir dari Goal.com, kekesalannya tersebut bertambah ketika ia dihampiri oleh seorang wartawan dari stasiun TV Portugal bernama CMTV. CMTV dalam beberapa tahun terakhir memang kerap mengekspos kehidupan pribadi Ronaldo dan keluarganya, hal ini yang membuat Ronaldo makin tersulut emosi hingga membuang mic wartawan tersebut ke danau.Dari hal tersebut maka dapat disimpulkan jika CR7 melempar mic wartawan itu dikarenakan ia sedang merasa kesal akibat performa buruknya di Timnas dan kekesalannya dengan CMTV. Selain itu dalam beberapa artikel yang membahas kejadian ini disebutkan jika wartawan yang menjadi korban amukan Ronaldo itu merupakan seorang pria berwarga negara Portugal bernama Diogo Torres.=========== [REFERENSI] :https://www.goal.com/en/news/revealed-why-ronaldo-threw-a-reporters-mic-in-a-lake/az17zticq8471cljwjy0u2utbhttps://video.tribunnews.com/view/5461/cristiano-ronaldo-lempar-mikrofon-wartawan-ke-danauhttps://www.mirror.co.uk/sport/football/news/microphone-thrown-lake-cristiano-ronaldo-8339463",https://turnbackhoax.id/2023/11/22/salah-cristiano-ronaldo-lempar-mic-wartawan-israel-ke-danau/,1
[SALAH] “Israel Tawarkan Gencatan Senjata Selama 7 Jam”,"November 20, 2023","Hasil periksa fakta Mochamad MarcellFaktanya justru pihak Israel tidak setuju dengan adanya gencatan senjata, setelah ditelusuri tidak ditemukan pemberitaan kredibel yang membenarkan kabar tersebut.= = =Kategori: Konten yang Menyesatkan= = =Sumber: Instagramhttps://ghostarchive.org/iarchive/instagram/liputan1000/3234543435814332945= = =Narasi:“️DIDUGA KARENA BANYAK TENTARA IDF YANG TEW4S ISRAEL TAWARKAN GENCATAN SENJATA SELAMA 7 JAM. Tanpa ada angin dan hujan petir, Israel tiba-tiba tetapkan sepihak gencatan senjata 7 jam hari ini. Hal itu terjadi pasca serangan balik pejuang kemarin malam, di sekitar Rumah Sakit Shifa. Ketika pasukan IDF mencoba merangsek dan duduki RS. Serangan keras memukul Israel lahir bathin karena mereka terlena keberhasilan menyisir daerah pantai sehari sebelumnya. Namun rupanya memang sengaja dibiarkan agar IDF lengah dan terus masuk ke arah kota. Hasilnya bisa ditebak, pertempuran kegelapan membuat IDF tak berkutik dan menjadi bulan-bulanan, meski sudah dilengkapi berbagai sensor. Mereka sendiri yang memutus listrik, mereka malah jadi sasaran empuk. Bahkan ada yg tersesat & dikepung. Gencatan senjata 7 jam diyakini adalah upaya mereka untuk mengevakuasi mayat-mayat tentaranya, serta menyelamatkan yang terluka.”= = =Penjelasan:Beredar kabar di Instagram yang menyebut bahwa Israel Defense Forces (IDF) menawarkan gencatan senjata selama 7 jam kepada Hamas, karena banyak tentara IDF yang tewas dalam peperangan di jalur Gaza tersebut.Hasil penelusuran menunjukkan bahwa klaim tersebut salah, faktanya justru Israel menolak adanya gencatan senjata dalam peperangannya melawan kelompok Hamas di Gaza. “Tidak ada gencatan senjata, saya ulangi tidak ada gencatan senjata. Apa yang kami lakukan, jangka waktu empat jam itu, adalah jeda taktis dan lokal untuk bantuan kemanusiaan,” kata juru bicara militer Letnan Kolonel Richard Hecht, mengutip dari Reuters.com.Hasil penelusuran melalui mesin pencarian tidak ditemukan sumber kredibel dan valid yang membenarkan Israel menawarkan gencatan senjata karena banyak tentara IDF yang tewas ataupun  mengenai pertempuran di tengah kegelapan yang membuat IDF tak berkutik dan dikepung.Dengan demikian, Israel menawarkan gencatan senjata selama 7 jam adalah tidak benar dengan kategori Konten yang Menyesatkan.= = =Referensi:https://www.reuters.com/world/middle-east/israeli-military-no-ceasefire-gaza-just-brief-local-pauses-2023-11-09/= = = ",https://turnbackhoax.id/2023/11/20/salah-israel-tawarkan-gencatan-senjata-selama-7-jam/,1
[SALAH] Cristiano Ronaldo Menangis Melihat Anak Palestina Korban Serangan Israel,"November 19, 2023","Hasil periksa fakta Vendra PanjiFakta sebenarnya adalah dalam unggahan tersebut Ronaldo menangis dikarenakan mengenang mendiang ayahnya dalam wawancaranya bersama Piers Morgan pada 2019 lalu.===========[KATEGORI]: Konten menyesatkan===========[SUMBER]: Tiktok https://archive.cob.web.id/archive/1700317053.97107/index.html===========[NARASI]: “Ronaldo menangis melihat video ini. Seorang anak Palestina korban dari serangan Israel, anak ini masih pakai JERSEY CRISTIANO RONALDO, meskipun bajunya sudah compang camping di tubuhnya y sedang Terluka…”===========[PENJELASAN]: Sebuah postingan Tiktok yang diunggah 25 Oktober 2023 lalu memperlihatkan dua potongan video, yaitu video Ronaldo yang terlihat sedang menangis dan juga video seorang anak Palestina yang diduga korban selamat dari serangan Israel sedang mengenakan jersey tim sepak bola Al Nassr bernamakan punggung Ronaldo.Dua potongan video tersebut dipertebal dengan sebuah narasi yang bertuliskan mengenai Ronaldo yang seakan sedang menangis karena menonton video anak Palestina yang sedang terluka akibat dari serangan Israel tersebut.Namun setelah dilakukan pencarian sumber asli video Ronaldo tersebut, ditemukan hasil jika sumber asli video tersebut adalah dari wawancara Ronaldo dengan Piers Morgan pada 2019 lalu. Dalam wawancara tersebut terlihat Ronaldo yang menangis saat membahas tentang mendiang ayahnya.Sehingga dapat disimpulkan jika Ronaldo menangis bukan karena sedang menonton video anak Palestina yang selamat dari serangan Israel mengenakan jersey Ronaldo yang sudah rusak.=========== [REFERENSI] :https://www.youtube.com/watch?v=pkhkEeP_yZshttps://www.thesun.co.uk/sport/9934746/cristiano-ronaldo-sobs-alcoholic-father-dad-superstar/https://www.instagram.com/p/Cyl71-csXur/",https://turnbackhoax.id/2023/11/19/salah-cristiano-ronaldo-menangis-melihat-anak-palestina-korban-serangan-israel/,1
[SALAH] Kontingen Polisi Israel Menganiaya Gadis 12 Tahun Di Tengah Konflik Israel-Palestina Tahun Ini,"November 17, 2023","Hasil periksa fakta Evarizma Zahra.Konteks yang salah. Video tersebut direkam pada 28 Februari 2022, bukan pada tahun ini.=====KATEGORI: KONTEKS YANG SALAH=====Sumber: Twitterhttps://archive.ph/kkJKjArsip Video:https://video.twimg.com/amplify_video/1721430038120218625/vid/avc1/480×852/PSVbvKS34-BZgVA7.mp4?tag=14=====Narasi(Diterjemahkan ke Bahasa Indonesia):“Rekaman yang diambil kemarin menunjukkan kontingen polisi bersenjata Israel secara brutal menyerang seorang gadis berusia 12 tahun di Bab Al Amud Plaza di #Yerusalem yang diduduki.#FreePalestineNow #الاتحاد_القوه_الجو # فلسطين_تنتصر #ولعت #Palestine”.=====Penjelasan:Akun Twitter bercentang biru @Muwaahid92 mengunggah video yang menunjukkan sekelompok polisi bersenjata menyerang seorang gadis kecil. Video tersebut diklaim sebagai kontingen polisi Israel yang menyerang gadis 12 tahun secara brutal di Yerusalem pada 5 November 2023. Cuitan dan video tersebut diunggah pada 6 November 2023.Setelah dilakukan penelusuran dengan Yandex Video Search, informasi tersebut salah. Video yang sama persis telah banyak beredar di internet dan media sejak 2022, salah satunya diunggah oleh kanal berita MEE (Middle East Eye). Artikel berita yang ditulis MEE pada 28 Februari 2022 tersebut menjelaskan bahwa sekelompok polisi Israel menyerang gadis kecil Palestina di Damascus Gate di Yerusalem Timur yang diduduki Israel. Video tersebut diambil di tengah festival Isra Miraj.Selain itu, informasi serupa telah dibahas oleh The Quint dengan judul “Old Video Shared as Recent Incident of Israeli Forces Beating a Palestinian Girl” dengan klaim yang sama seperti keterangan di berita yang ditulis MEE pada 28 Februari 2022.Dengan demikian, informasi yang disebarluaskan oleh @Muwaahid92  merupakan konteks yang salah.===== Referensi:https://www.middleeasteye.net/news/israel-palestine-jerusalem-girl-dragged-kicked-muslim-festivalhttps://www.thequint.com/news/webqoof/israeli-forces-beating-a-palestinian-girl-east-jerusalem-viral-video-fact-check#read-more",https://turnbackhoax.id/2023/11/17/salah-kontingen-polisi-israel-menganiaya-gadis-12-tahun-di-tengah-konflik-israel-palestina-tahun-ini/,1
[SALAH] Video Tentara Israel yang Diserang,"November 17, 2023","Hasil periksa fakta Evarizma Zahra. Konten yang menyesatkan. Video tersebut menunjukkan pasukan Government of National Accord yang menembaki Tentara Nasional Libya di Tripoli, Libya, pada 2020, bukan video tentara Israel yang sedang ditembaki pada konflik Israel-Palestina tahun ini.=====KATEGORI: KONTEN YANG MENYESATKAN=====Sumber: Twitterhttps://archive.ph/dGgPV#selection-425.0-425.64Arsip Video:https://video.twimg.com/ext_tw_video/1718359485205622784/pu/vid/avc1/480×848/ZmFuEYmnJAPM8xUc.mp4?tag=12=====Narasi(Diterjemahkan ke Bahasa Indonesia):“Tank-tank ini, kendaraan yang berlapis baja dan anjing-anjing Israel yang lari ketakutan. Sesungguhnya ALLAH sudah cukup bagi Mujahidin dan Mujahidin adalah pembela umat Islam yang sesungguhnya.#starlinkforgaza #Gaza_Genocide #StopGenocideInGaza #Israel #FreePalestine #Gaza #حماس=====Penjelasan:Akun Twitter bercentang biru @zain_rajpoot39 (Zain Rajpoot) mengunggah video yang menunjukkan sekelompok tentara yang berada di tengah baku tembak. Video tersebut diklaim sebagai tentara Israel yang sedang ditembaki di tengah konflik Israel-Palestina yang sedang memanas tahun ini. Cuitan dan video yang diunggah pada 29 Oktober tersebut telah disukai 275 orang, dibagikan dan dikutip ulang lebih dari 100 kali, serta telah dilihat 18,000 kali.Berdasarkan penelusuran dengan Yandex Video Search, informasi tersebut menyesatkan. Video serupa telah banyak beredar sejak 2020, salah satunya di kanal berita Alhurra News, yang berfokus meliput berita area Timur Tengah dan Afrika Utara. Pada laman berita resminya, terdapat artikel berita dengan video serupa yang berjudul “Dramatic video…A deadly ambush by the forces of the Government of National Accord against Haftar’s soldiers” yang dipublikasikan pada 3 Juni 2020.Terlebih lagi, informasi serupa pernah dibahas oleh India Today dengan judul “Fact Check: Violent war video from Libya goes viral as attack on Israeli army” dan dikategorikan sebagai False.Dengan demikian, informasi yang disebarluaskan oleh @zain_rajpoot39 (Zain Rajpoot) merupakan konten yang menyesatkan.=====Referensi:https://shorturl.at/akGXYhttps://www.indiatoday.in/fact-check/story/israel-hamas-war-fact-check-violent-war-video-from-libya-goes-viral-as-attack-on-israeli-army-2455669-2023-10-30",https://turnbackhoax.id/2023/11/17/salah-video-tentara-israel-yang-diserang/,1
[SALAH] Imbas Perang Israel Resmi Inggris Cabut Kemerdekaan Malaysia,"November 16, 2023","Hasil Periksa Fakta Dyah FebriyaniInformasi tidak benar. Tidak ditemukan keterangan dari pemerintah Inggris yang menyatakan telah mencabut kemerdekaan Malaysia. Narasi dalam video tidak sesuai dengan cuplikan video yang ditampilkan.[KATEGORI]Konten Menyesatkan[SUMBER]TikTokhttps://archive.cob.web.id/archive/1698806023.865481/index.html[NARASI]“imbas perang Israel resmi Inggris cabut kemerdekaan Malaysia”[PENJELASAN]Beredar sebuh video di Tiktok yang mengklaim Inggris telah resmi mencabut kemerdekaan Malaysia. Alasan dicabutnya kemerdekaan Malaysia dalam video dijelaskan karena pebelaan terhadap Palestina. Faktanya klaim tersebut tidak benar.Setelah melihat video secara utuh, tidak ditemukan pernyataan dari pemerintah Inggris yang mencabut kemerdekaan Malaysia. Tidak ditemukan pula berita yang valid terkait klaim tersebut. Selain itu, klip video yang dipakai dalam video tidak ada kaitannya dengan judul dan narasi yang dibacakan narator.Dilansir dari Kompas.com, berdasarkan hasil pencarian di Google Lens mengarahkan video serupa yang diunggah di akun X atau Twitter Sunak pada 18 Oktober 2023. Rishi Sunak bicara soal perlunya investigasi terkait ledakan di rumah sakit al-Ahli Arab yang dilaporkan telah menewaskan ratusan warga sipil di Gaza. Klip lainnya diambil dari video konferensi pers Presiden Amerika Joe Biden yang meminta bantuan kemanusiaan Israel ke Gaza. Pidatonya dapat dilihat di kanal YouTube Washington Post, 18 Oktober 2023.[REFERENSI]https://www.kompas.com/cekfakta/read/2023/10/31/201600582/-hoaks-inggris-cabut-kemerdekaan-malaysia?page=allhttps://twitter.com/RishiSunak/status/1714622673827885300https://www.youtube.com/watch?v=hUhpJ8QqSeY",https://turnbackhoax.id/2023/11/16/salah-imbas-perang-israel-resmi-inggris-cabut-kemerdekaan-malaysia/,1
