headline,date,month,year,content,link,hoax
Konvoi Bantuan Palestina Dirampas oleh Israel,25,November,2023,"Hasil periksa fakta Vendra PanjiDalam video aslinya berisi penjelasan peristiwa perampasan Israel . Truk-truk berhenti proses melewati perbatasan Rafah , perbatasan Mesir Gaza . : Konten dimanipulasi : Tiktok https : //archive.cob.web.id/archive/1700676627.275035/index.html : “ Gambaran Konvoi Bantuan Palestina Rampas ISRAELSebarkan Dunia Tau Betapa K3J @ m ISRAEL ” : video Tiktok truk terparkir memanjang , video disertai narasi truk-truk bantuan Palestina dirampas Israel.Namun , ditelusuri potongan video berasal media Mesir bernama Al Nahar , video diunggah Facebook 31 Mei 2021 . Video disertai caption berbahasa Arab diterjemahkan “ “ For the third time .. # Egypt sends the largest convoys of support and aid to the Palestinians in # Gaza , ” .Dalam video aslinya berisi penjelasan peristiwa perampasan Israel . Truk-truk berhenti proses melewati perbatasan Rafah , perbatasan Mesir Gaza.Sehingga disimpulkan klaim video perampasan bantuan Palestina Israel . Truk berhenti proses melewati perbatasan Rafah . : https : //www.facebook.com/watch/ ? refembed_video & v563146664690735https : //pesacheck.org/false-this-video-is-not-of-aid-vehicles-stalled-at-the-rafah-border-in-2023-d648991a7e68",https://turnbackhoax.id/2023/11/25/salah-konvoi-bantuan-palestina-dirampas-oleh-israel/,1
Video Polisi Israel Mencekik Anak Palestina di Kedutaan AS di Jerusalem,23,November,2023,"Hasil periksa fakta Moch . MarcellodiansyahFaktanya video beredar 2015 anak laki-laki Arab ditangkap penjaga keamanan Swedia Stasiun Kereta Api Malmo diduga membayar tiket kereta api . Kategori : Konten Menyesatkan Sumber : Twitterhttps : //ghostarchive.org/archive/M4FXS Narasi : “ : point_up : polisi Israel mencekik anak Palestina mati Sabtu kedutaan AS Jerusalem . Anak Palestina mengucap Kalimat Syahadat meninggal dunia. , video sistematik dibuang dibuang google , Facebook , YouTube. ” Penjelasan : Beredar video Twitter berpakaian petugas keamanan menahan anak laki-laki lantai . Video diklaim polisi Israel mencekik anak Palestina mati Sabtu , 28 Oktober 2023 Kedutaan AS Jerusalem.Hasil penelusuran menemukan klaim menyesatkan , faktanya video kejadian penahanan anak keturunan Arab petugas keamanan Stasiun Kereta Api Malmo Swedia 2015 . kaitannya konflik Palestina Israel Oktober 2023 . Dilansir checkyourfact.com , anak diamankan membayar tiket kereta api.Dengan , polisi israel mencekik anak Palestina Kedutaan AS Jerusalem kategori Konten Menyesatkan . Referensi : https : //checkyourfact.com/2023/11/15/fact-check-swedish-security-guards-israel-hamas/",https://turnbackhoax.id/2023/11/23/salah-video-polisi-israel-mencekik-anak-palestina-di-kedutaan-as-di-jerusalem/,1
Video Tentara Israel Memasang Bendera Israel di Atap Rumah Sakit Al Shifa,23,November,2023,"Hasil periksa fakta Evarizma Zahra . Konten menyesatkan . Video tentara Israel memasang bendera negaranya atap TK khusus anak laki-laki Gaza , atap rumah sakit Al Shifa.KATEGORI : KONTEN MENYESATKANSumber : Twitterhttps : //archive.ph/HacLdArsip Video : https : //video.twimg.com/ext_tw_video/1724766329180139520/pu/vid/avc1/480×848/D_B0Mvjmf0PGp6hf.mp4 ? tag12Narasi : “ ‘ menaklukkan ’ Rumah Sakit Al Shifa , pasukan Israel memasang bendera atap menandai kemenangan orang-orang sakit bayi berdaya ! Benar-benar ampun… # khaberni # AlShifaHospital # CeasefireForGazaNOW # GazaGenocide # Gazawar # Gaza ” .Penjelasan : Akun Twitter bercentang biru @ khaberni mengunggah video pasukan Israel memasang bendera negaranya atap . Pengguna Twitter menklaim kejadian direkam atap Rumah Sakit Al Shifa , Gaza , simbol kemenangan Israel mengebom orang-orang sakit bayi rumah sakit . Video cuitan diunggah 15 November disukai 1,700 orang , dibagikan dikutip ulang 1,800 kali , 700,000 kali.Berdasarkan hasil penelusuran , informasi menyesatkan . Jurnalis Perancis bernama Arthur Carpentier pencarian cuplikan bangunan video tertera bangunan cocok salah sekolah Gaza terletak 400m Rumah Sakit Al-Shifa . Arthur Carpentier menulis hasil temuan Twitter pribadinya.Selain , informasi dibahas Politi Fact judul “ Video shows Israeli soldiers ‘ raising their flag ’ over al-Shifa hospital in Gaza ” dikategorikan False.Dengan , informasi disebarluaskan @ khaberni konten menyesatkan.Referensi : https : //twitter.com/Arthur_Crpt/status/1724823045276049839https : //www.politifact.com/factchecks/2023/nov/21/instagram-posts/video-shows-israeli-flag-planted-over-boys-school/",https://turnbackhoax.id/2023/11/23/salah-video-tentara-israel-memasang-bendera-israel-di-atap-rumah-sakit-al-shifa/,1
Perusahaan Israel Pepsi Ubah Kemasan Bertulisan “Palestina” untuk Hindari Boikot,23,November,2023,"Hasil periksa fakta Moch . MarcellodiansyahFaktanya Pepsi perusahaan Amerika Serikat . Desain Pepsi bertuliskan “ Palestina ” bahasa Arab beredar Agustus 2023 konflik Palestina Israel memanas 7 Oktober 2023 . Kategori : Konten Menyesatkan Sumber : TikTokhttps : //ghostarchive.org/archive/PKTZB Narasi : “ Perusahaan israel PEPSI mengubah desainnya menghindari boycot kemasannya menuliskan PALESTINA ketar ketir udah ” Penjelasan : video TikTok membagikan kemasan Pepsi bertulisan “ Palestina ” bahasa Arab . Narasi disematkan video menyebut perusahaan Israel , Pepsi mengubah desain kemasan kalengnya menghindari boikot.Hasil penelusuran menemukan klaim keliru , faktanya desain kaleng Pepsi edisi khusus tersebar Agustus 2023 , konflik Palestina – Israel memanas 7 Oktober 2023 . , Pepsi perusahaan Amerika Serikat , Israel.Dilansir thequint.com , kaleng pola mencerminkan warisan budaya asli Palestina dipasarkan . Dragon Studios agensi desain kaleng membagikan proses pembuatannya Agustus 2014.Dengan , Pepsi ubah kemasan bertulisan “ Palestina ” hindari boikot kategori Konten Menyesatkan . Referensi : https : //www.thequint.com/news/webqoof/pepsi-co-supporting-palestine-design-israel-company-fact-check # read-morehttps : //www.kompas.com/cekfakta/read/2023/11/15/164223582/klarifikasi-tidak-benar-pepsi-ubah-desain-kaleng-untuk-hindari-boikot",https://turnbackhoax.id/2023/11/23/salah-perusahaan-israel-pepsi-ubah-kemasan-bertulisan-palestina-untuk-hindari-boikot/,1
Cristiano Ronaldo Lempar Mic Wartawan Israel ke Danau,22,November,2023,"Hasil periksa fakta Vendra PanjiCR7 melempar mic wartawan kesal akibat performa buruknya Timnas kekesalannya CMTV , wartawan orang Israel . : Konten menyesatkan : Tiktok https : //archive.cob.web.id/archive/1700475153.05555/index.html : “ Momen Ronaldo Membuang Mik wartawan Israel ” : postingan Tiktok diunggah 12 Oktober 2023 menampilkan video Ronaldo nampak kesal wartawan melempar mic wartawan , unggahan Tiktok teks tambahan mengklaim wartawan orang Israel.Setelah mencari sumber asli potongan video , ditemukan hasil temuan video diambil 2016 silam . momen Ronaldo diduga mengalami kekesalan lantaran performa buruknya bermain Timnas Portugal ajang EURO 2016.Kemudian dilansir Goal.com , kekesalannya bertambah dihampiri wartawan stasiun TV Portugal bernama CMTV . CMTV kerap mengekspos kehidupan pribadi Ronaldo keluarganya , Ronaldo tersulut emosi membuang mic wartawan danau.Dari disimpulkan CR7 melempar mic wartawan kesal akibat performa buruknya Timnas kekesalannya CMTV . artikel membahas kejadian wartawan korban amukan Ronaldo pria berwarga negara Portugal bernama Diogo Torres . : https : //www.goal.com/en/news/revealed-why-ronaldo-threw-a-reporters-mic-in-a-lake/az17zticq8471cljwjy0u2utbhttps : //video.tribunnews.com/view/5461/cristiano-ronaldo-lempar-mikrofon-wartawan-ke-danauhttps : //www.mirror.co.uk/sport/football/news/microphone-thrown-lake-cristiano-ronaldo-8339463",https://turnbackhoax.id/2023/11/22/salah-cristiano-ronaldo-lempar-mic-wartawan-israel-ke-danau/,1
“Israel Tawarkan Gencatan Senjata Selama 7 Jam”,20,November,2023,"Hasil periksa fakta Mochamad MarcellFaktanya Israel setuju gencatan senjata , ditelusuri ditemukan pemberitaan kredibel membenarkan kabar . Kategori : Konten Menyesatkan Sumber : Instagramhttps : //ghostarchive.org/iarchive/instagram/liputan1000/3234543435814332945 Narasi : “ ️DIDUGA TENTARA IDF TEW4S ISRAEL TAWARKAN GENCATAN SENJATA 7 JAM . angin hujan petir , Israel tetapkan gencatan senjata 7 jam . pasca serangan pejuang kemarin malam , Rumah Sakit Shifa . pasukan IDF mencoba merangsek duduki RS . Serangan keras memukul Israel lahir bathin terlena keberhasilan menyisir daerah pantai sehari . sengaja dibiarkan IDF lengah masuk arah kota . Hasilnya ditebak , pertempuran kegelapan IDF berkutik bulan-bulanan , dilengkapi sensor . memutus listrik , sasaran empuk . yg tersesat & dikepung . Gencatan senjata 7 jam diyakini upaya mengevakuasi mayat-mayat tentaranya , menyelamatkan terluka. ” Penjelasan : Beredar kabar Instagram menyebut Israel Defense Forces menawarkan gencatan senjata 7 jam Hamas , tentara IDF tewas peperangan jalur Gaza tersebut.Hasil penelusuran klaim salah , faktanya Israel menolak gencatan senjata peperangannya melawan kelompok Hamas Gaza . “ gencatan senjata , ulangi gencatan senjata . lakukan , jangka jam , jeda taktis lokal bantuan kemanusiaan , ” juru bicara militer Letnan Kolonel Richard Hecht , mengutip Reuters.com.Hasil penelusuran mesin pencarian ditemukan sumber kredibel valid membenarkan Israel menawarkan gencatan senjata tentara IDF tewas pertempuran kegelapan IDF berkutik dikepung.Dengan , Israel menawarkan gencatan senjata 7 jam kategori Konten Menyesatkan . Referensi : https : //www.reuters.com/world/middle-east/israeli-military-no-ceasefire-gaza-just-brief-local-pauses-2023-11-09/",https://turnbackhoax.id/2023/11/20/salah-israel-tawarkan-gencatan-senjata-selama-7-jam/,1
Cristiano Ronaldo Menangis Melihat Anak Palestina Korban Serangan Israel,19,November,2023,"Hasil periksa fakta Vendra PanjiFakta unggahan Ronaldo menangis mengenang mendiang ayahnya wawancaranya Piers Morgan 2019 . : Konten menyesatkan : Tiktok https : //archive.cob.web.id/archive/1700317053.97107/index.html : “ Ronaldo menangis video . anak Palestina korban serangan Israel , anak pakai JERSEY CRISTIANO RONALDO , bajunya compang camping tubuhnya y Terluka… ” : postingan Tiktok diunggah 25 Oktober 2023 potongan video , video Ronaldo menangis video anak Palestina diduga korban selamat serangan Israel mengenakan jersey tim sepak bola Al Nassr bernamakan punggung Ronaldo.Dua potongan video dipertebal narasi bertuliskan Ronaldo seakan menangis menonton video anak Palestina terluka akibat serangan Israel tersebut.Namun pencarian sumber asli video Ronaldo , ditemukan hasil sumber asli video wawancara Ronaldo Piers Morgan 2019 . wawancara Ronaldo menangis membahas mendiang ayahnya.Sehingga disimpulkan Ronaldo menangis menonton video anak Palestina selamat serangan Israel mengenakan jersey Ronaldo rusak . : https : //www.youtube.com/watch ? vpkhkEeP_yZshttps : //www.thesun.co.uk/sport/9934746/cristiano-ronaldo-sobs-alcoholic-father-dad-superstar/https : //www.instagram.com/p/Cyl71-csXur/",https://turnbackhoax.id/2023/11/19/salah-cristiano-ronaldo-menangis-melihat-anak-palestina-korban-serangan-israel/,1
Kontingen Polisi Israel Menganiaya Gadis 12 Tahun Di Tengah Konflik Israel-Palestina Tahun Ini,17,November,2023,"Hasil periksa fakta Evarizma Zahra.Konteks salah . Video direkam 28 Februari 2022 , ini.KATEGORI : KONTEKS SALAHSumber : Twitterhttps : //archive.ph/kkJKjArsip Video : https : //video.twimg.com/amplify_video/1721430038120218625/vid/avc1/480×852/PSVbvKS34-BZgVA7.mp4 ? tag14Narasi : “ Rekaman diambil kemarin kontingen polisi bersenjata Israel brutal menyerang gadis berusia 12 Bab Al Amud Plaza # Yerusalem diduduki. # FreePalestineNow # الاتحاد_القوه_الجو # فلسطين_تنتصر # ولعت # Palestine ” .Penjelasan : Akun Twitter bercentang biru @ Muwaahid92 mengunggah video sekelompok polisi bersenjata menyerang gadis . Video diklaim kontingen polisi Israel menyerang gadis 12 brutal Yerusalem 5 November 2023 . Cuitan video diunggah 6 November 2023.Setelah penelusuran Yandex Video Search , informasi salah . Video persis beredar internet media 2022 , salah satunya diunggah kanal berita MEE . Artikel berita ditulis MEE 28 Februari 2022 sekelompok polisi Israel menyerang gadis Palestina Damascus Gate Yerusalem Timur diduduki Israel . Video diambil festival Isra Miraj.Selain , informasi dibahas The Quint judul “ Old Video Shared as Recent Incident of Israeli Forces Beating a Palestinian Girl ” klaim keterangan berita ditulis MEE 28 Februari 2022.Dengan , informasi disebarluaskan @ Muwaahid92 konteks salah . Referensi : https : //www.middleeasteye.net/news/israel-palestine-jerusalem-girl-dragged-kicked-muslim-festivalhttps : //www.thequint.com/news/webqoof/israeli-forces-beating-a-palestinian-girl-east-jerusalem-viral-video-fact-check # read-more",https://turnbackhoax.id/2023/11/17/salah-kontingen-polisi-israel-menganiaya-gadis-12-tahun-di-tengah-konflik-israel-palestina-tahun-ini/,1
Video Tentara Israel yang Diserang,17,November,2023,"Hasil periksa fakta Evarizma Zahra . Konten menyesatkan . Video pasukan Government of National Accord menembaki Tentara Nasional Libya Tripoli , Libya , 2020 , video tentara Israel ditembaki konflik Israel-Palestina ini.KATEGORI : KONTEN MENYESATKANSumber : Twitterhttps : //archive.ph/dGgPV # selection-425.0-425.64Arsip Video : https : //video.twimg.com/ext_tw_video/1718359485205622784/pu/vid/avc1/480×848/ZmFuEYmnJAPM8xUc.mp4 ? tag12Narasi : “ Tank-tank , kendaraan berlapis baja anjing-anjing Israel lari ketakutan . Sesungguhnya ALLAH Mujahidin Mujahidin pembela umat Islam sesungguhnya. # starlinkforgaza # Gaza_Genocide # StopGenocideInGaza # Israel # FreePalestine # Gaza # حماسPenjelasan : Akun Twitter bercentang biru @ zain_rajpoot39 mengunggah video sekelompok tentara baku tembak . Video diklaim tentara Israel ditembaki konflik Israel-Palestina memanas . Cuitan video diunggah 29 Oktober disukai 275 orang , dibagikan dikutip ulang 100 kali , 18,000 kali.Berdasarkan penelusuran Yandex Video Search , informasi menyesatkan . Video beredar 2020 , salah satunya kanal berita Alhurra News , berfokus meliput berita area Timur Afrika Utara . laman berita resminya , artikel berita video berjudul “ Dramatic video…A deadly ambush by the forces of the Government of National Accord against Haftar ’ s soldiers ” dipublikasikan 3 Juni 2020.Terlebih , informasi dibahas India Today judul “ Fact Check : Violent war video from Libya goes viral as attack on Israeli army ” dikategorikan False.Dengan , informasi disebarluaskan @ zain_rajpoot39 konten menyesatkan.Referensi : https : //shorturl.at/akGXYhttps : //www.indiatoday.in/fact-check/story/israel-hamas-war-fact-check-violent-war-video-from-libya-goes-viral-as-attack-on-israeli-army-2455669-2023-10-30",https://turnbackhoax.id/2023/11/17/salah-video-tentara-israel-yang-diserang/,1
Imbas Perang Israel Resmi Inggris Cabut Kemerdekaan Malaysia,16,November,2023,"Hasil Periksa Fakta Dyah FebriyaniInformasi . ditemukan keterangan pemerintah Inggris mencabut kemerdekaan Malaysia . Narasi video sesuai cuplikan video ditampilkan.Konten MenyesatkanTikTokhttps : //archive.cob.web.id/archive/1698806023.865481/index.html “ imbas perang Israel resmi Inggris cabut kemerdekaan Malaysia ” Beredar sebuh video Tiktok mengklaim Inggris resmi mencabut kemerdekaan Malaysia . Alasan dicabutnya kemerdekaan Malaysia video pebelaan Palestina . Faktanya klaim benar.Setelah video utuh , ditemukan pernyataan pemerintah Inggris mencabut kemerdekaan Malaysia . ditemukan berita valid terkait klaim . , klip video dipakai video kaitannya judul narasi dibacakan narator.Dilansir Kompas.com , berdasarkan hasil pencarian Google Lens mengarahkan video diunggah akun X Twitter Sunak 18 Oktober 2023 . Rishi Sunak bicara investigasi terkait ledakan rumah sakit al-Ahli Arab dilaporkan menewaskan ratusan warga sipil Gaza . Klip diambil video konferensi pers Presiden Amerika Joe Biden bantuan kemanusiaan Israel Gaza . Pidatonya kanal YouTube Washington Post , 18 Oktober 2023.https : //www.kompas.com/cekfakta/read/2023/10/31/201600582/-hoaks-inggris-cabut-kemerdekaan-malaysia ? pageallhttps : //twitter.com/RishiSunak/status/1714622673827885300https : //www.youtube.com/watch ? vhUhpJ8QqSeY",https://turnbackhoax.id/2023/11/16/salah-imbas-perang-israel-resmi-inggris-cabut-kemerdekaan-malaysia/,1
